,filename,gender,race,adult
0,1-0-neutral.jpg,male,cauca,yes
1,1-1-happy.jpg,male,cauca,yes
2,1-10-calm.jpg,male,cauca,yes
3,1-11-rage.jpg,male,cauca,yes
4,1-2-sadness.jpg,male,cauca,yes
5,1-3-surprise.jpg,male,cauca,yes
6,1-4-fear.jpg,male,cauca,yes
7,1-5-anger.jpg,male,cauca,yes
8,1-6-contempt.jpg,male,cauca,yes
9,1-7-contempt.jpg,male,cauca,yes
10,1-8-disgust.jpg,male,cauca,yes
11,1-9-disgust.jpg,male,cauca,yes
12,10-0-neutral.jpg,female,cauca,yes
13,10-1-happy.jpg,female,cauca,yes
14,10-10-touched.jpg,female,cauca,yes
15,10-11-jealous.jpg,female,cauca,yes
16,10-2-sadness.jpg,female,cauca,yes
17,10-3-surprise.jpg,female,cauca,yes
18,10-5-anger.jpg,female,cauca,yes
19,10-6-contempt.jpg,female,cauca,yes
20,10-7-contempt.jpg,female,cauca,yes
21,11-10-worried.jpg,male,cauca,yes
22,11-11-furious.jpg,male,cauca,yes
23,11-2-sadness.jpg,male,cauca,yes
24,11-3-surprise.jpg,male,cauca,yes
25,11-4-fear.jpg,male,cauca,yes
26,11-5-anger.jpg,male,cauca,yes
27,11-6-contempt.jpg,male,cauca,yes
28,11-7-contempt.jpg,male,cauca,yes
29,12-0-neutral.jpg,female,cauca,yes
30,12-1-happy.jpg,female,cauca,yes
31,12-10-friendly.jpg,female,cauca,yes
32,12-11-annoyed.jpg,female,cauca,yes
33,12-3-surprise.jpg,female,cauca,yes
34,12-4-fear.jpg,female,cauca,yes
35,12-5-anger.jpg,female,cauca,yes
36,12-6-contempt.jpg,female,cauca,yes
37,12-7-contempt.jpg,female,cauca,yes
38,12-8-disgust.jpg,female,cauca,yes
39,12-9-disgust.jpg,female,cauca,yes
40,13-0-neutral.jpg,female,cauca,yes
41,13-1-happy.jpg,female,cauca,yes
42,13-10-jealous.jpg,female,cauca,yes
43,13-11-thinking.jpg,female,cauca,yes
44,13-2-sadness.jpg,female,cauca,yes
45,13-3-surprise.jpg,female,cauca,yes
46,13-3-surprise_.jpg,female,cauca,yes
47,13-4-fear.jpg,female,cauca,yes
48,13-5-anger.jpg,female,cauca,yes
49,13-6-contempt.jpg,female,cauca,yes
50,13-7-contempt.jpg,female,cauca,yes
51,14-0-neutral.jpg,male,cauca,yes
52,14-1-happy.jpg,male,cauca,yes
53,14-10-calm.jpg,male,cauca,yes
54,14-3-surprise.jpg,male,cauca,yes
55,14-4-fear.jpg,male,cauca,yes
56,14-5-anger.jpg,male,cauca,yes
57,14-6-contempt.jpg,male,cauca,yes
58,14-7-contempt.jpg,male,cauca,yes
59,15-0-neutral.jpg,female,cauca,yes
60,15-1-happy.jpg,female,cauca,yes
61,15-10-joy.jpg,female,cauca,yes
62,15-11-hoping.jpg,female,cauca,yes
63,15-3-surprise.jpg,female,cauca,yes
64,15-5-anger.jpg,female,cauca,yes
65,15-6-contempt.jpg,female,cauca,yes
66,15-7-contempt.jpg,female,cauca,yes
67,2-0-neutral.jpg,male,cauca,yes
68,2-1-happy.jpg,male,cauca,yes
69,2-10-tiredness.jpg,male,cauca,yes
70,2-11-jealous.jpg,male,cauca,yes
71,2-2-sadness.jpg,male,cauca,yes
72,2-3-surprise.jpg,male,cauca,yes
73,2-4-fear.jpg,male,cauca,yes
74,2-5-anger.jpg,male,cauca,yes
75,2-6-contempt.jpg,male,cauca,yes
76,2-7-contempt.jpg,male,cauca,yes
77,2-8-disgust.jpg,male,cauca,yes
78,2-9-disgust.jpg,male,cauca,yes
79,3-0-neutral.jpg,female,cauca,yes
80,3-1-happy.jpg,female,cauca,yes
81,3-10-tiredness.jpg,female,cauca,yes
82,3-11-jealous.jpg,female,cauca,yes
83,3-2-sadness.jpg,female,cauca,yes
84,3-3-surprise.jpg,female,cauca,yes
85,3-4-fear.jpg,female,cauca,yes
86,3-5-anger.jpg,female,cauca,yes
87,3-5-anger_.jpg,female,cauca,yes
88,3-6-contempt.jpg,female,cauca,yes
89,3-7-contempt.jpg,female,cauca,yes
90,3-8-disgust.jpg,female,cauca,yes
91,3-9-disgust.jpg,female,cauca,yes
92,4-0-neutral.jpg,female,cauca,yes
93,4-1-happy.jpg,female,cauca,yes
94,4-10-love.jpg,female,cauca,yes
95,4-11-annoyed.jpg,female,cauca,yes
96,4-2-sadness.jpg,female,cauca,yes
97,4-3-surprise.jpg,female,cauca,yes
98,4-4-fear.jpg,female,cauca,yes
99,4-5-anger.jpg,female,cauca,yes
100,4-6-contempt.jpg,female,cauca,yes
101,4-7-contempt.jpg,female,cauca,yes
102,4-8-disgust.jpg,female,cauca,yes
103,4-9-disgust.jpg,female,cauca,yes
104,5-0-neutral.jpg,male,cauca,yes
105,5-1-happy.jpg,male,cauca,yes
106,5-10-frienfly.jpg,male,cauca,yes
107,5-11-tired.jpg,male,cauca,yes
108,5-2-sadness.jpg,male,cauca,yes
109,5-3-surprise.jpg,male,cauca,yes
110,5-4-surprise.jpg,male,cauca,yes
111,5-5-anger.jpg,male,cauca,yes
112,5-6-contempt.jpg,male,cauca,yes
113,5-7-contempt.jpg,male,cauca,yes
114,6-0-neutral.jpg,male,cauca,yes
115,6-1-happy.jpg,male,cauca,yes
116,6-10-friendly.jpg,male,cauca,yes
117,6-11-calm.jpg,male,cauca,yes
118,6-2-sadness.jpg,male,cauca,yes
119,6-3-surprise.jpg,male,cauca,yes
120,6-4-fear.jpg,male,cauca,yes
121,6-5-anger.jpg,male,cauca,yes
122,6-6-contempt.jpg,male,cauca,yes
123,6-7-contempt.jpg,male,cauca,yes
124,6-8-disgust.jpg,male,cauca,yes
125,6-9-disgust.jpg,male,cauca,yes
126,7-0-neutral.jpg,female,cauca,yes
127,7-1-happy.jpg,female,cauca,yes
128,7-10-annoyed.jpg,female,cauca,yes
129,7-2-sadness.jpg,female,cauca,yes
130,7-2-sadness_.jpg,female,cauca,yes
131,7-3-surprise.jpg,female,cauca,yes
132,7-4-fear.jpg,female,cauca,yes
133,7-5-anger.jpg,female,cauca,yes
134,7-6-contempt.jpg,female,cauca,yes
135,7-7-contempt.jpg,female,cauca,yes
136,7-7-contempt_.jpg,female,cauca,yes
137,7-8-disgust.jpg,female,cauca,yes
138,7-9-disgust.jpg,female,cauca,yes
139,8-0-neutral.jpg,female,cauca,yes
140,8-1-happy.jpg,female,cauca,yes
141,8-10-tired.jpg,female,cauca,yes
142,8-11-worried.jpg,female,cauca,yes
143,8-2-sadness.jpg,female,cauca,yes
144,8-3-surprise.jpg,female,cauca,yes
145,8-4-fear.jpg,female,cauca,yes
146,8-6-contempt.jpg,female,cauca,yes
147,8-7-contempt.jpg,female,cauca,yes
148,8-8-disgust.jpg,female,cauca,yes
149,8-9-disgust.jpg,female,cauca,yes
150,9-0-neutral.jpg,male,cauca,yes
151,9-1-happy.jpg,male,cauca,yes
152,9-10-jealous.jpg,male,cauca,yes
153,9-11-calm.jpg,male,cauca,yes
154,9-3-surprise.jpg,male,cauca,yes
155,9-4-fear.jpg,male,cauca,yes
