,filename,Unnamed: 0,gender,race,adult,expression,valence,arousal
0,1-0-neutral.jpg,0,male,cauca,yes,0.0,0.06,-0.08
1,1-1-happy.jpg,1,male,cauca,yes,1.0,0.86,0.08
2,1-10-calm.jpg,2,male,cauca,yes,0.0,0.22,-0.29
3,1-11-rage.jpg,3,male,cauca,yes,6.0,-0.18,0.7
4,1-2-sadness.jpg,4,male,cauca,yes,2.0,-0.81,-0.39
5,1-3-surprise.jpg,5,male,cauca,yes,4.0,-0.01,0.77
6,1-4-fear.jpg,6,male,cauca,yes,4.0,-0.08,0.77
7,1-5-anger.jpg,7,male,cauca,yes,6.0,-0.4,0.78
8,1-6-contempt.jpg,8,male,cauca,yes,7.0,-0.6,0.64
9,1-7-contempt.jpg,9,male,cauca,yes,7.0,-0.59,0.64
10,1-8-disgust.jpg,10,male,cauca,yes,5.0,-0.71,0.48
11,1-9-disgust.jpg,11,male,cauca,yes,5.0,-0.67,0.49
12,10-0-neutral.jpg,12,female,cauca,yes,0.0,-0.02,-0.03
13,10-1-happy.jpg,13,female,cauca,yes,1.0,0.5,0.18
14,10-10-touched.jpg,14,female,cauca,yes,0.0,0.37,-0.08
15,10-11-jealous.jpg,15,female,cauca,yes,0.0,-0.11,0.54
16,10-2-sadness.jpg,16,female,cauca,yes,2.0,-0.84,-0.38
17,10-3-surprise.jpg,17,female,cauca,yes,3.0,0.3,0.84
18,10-5-anger.jpg,18,female,cauca,yes,6.0,-0.37,0.27
19,10-6-contempt.jpg,19,female,cauca,yes,7.0,0.34,0.55
20,10-7-contempt.jpg,20,female,cauca,yes,7.0,0.33,0.54
21,11-10-worried.jpg,21,male,cauca,yes,2.0,-0.21,-0.3
22,11-11-furious.jpg,22,male,cauca,yes,6.0,-0.43,0.74
23,11-2-sadness.jpg,23,male,cauca,yes,2.0,-0.81,-0.05
24,11-3-surprise.jpg,24,male,cauca,yes,3.0,0.25,0.84
25,11-4-fear.jpg,25,male,cauca,yes,4.0,-0.15,0.85
26,11-5-anger.jpg,26,male,cauca,yes,6.0,-0.44,0.76
27,11-6-contempt.jpg,27,male,cauca,yes,7.0,-0.53,0.64
28,11-7-contempt.jpg,28,male,cauca,yes,7.0,-0.56,0.64
